SourcedFrom,FileTimeUtc,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpPostalCode,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,HttpReferrer,HttpUserAgent,HttpMethod,HttpVersion,HttpHost,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Threat Confidence
SinkHoleMessage,1.31E+17,B106-CB,175.143.112.61,55880,AS4788,204.95.99.31,1920,,MY,17,Putrajaya,,2.9431,101.6994,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,123.136.106.139,8917,AS38466,204.95.99.31,1920,,MY,12,Shah Alam,,3.0833,101.5333,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.140.216.89,52287,AS4788,204.95.99.109,88,,MY,9,Penang,,5.4112,100.3354,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,115.132.194.64,50723,AS4788,204.95.99.109,88,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,60.50.75.3,29453,AS4788,204.95.99.86,2164,,MY,6,Mentakab,,3.4854,102.3484,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.138.147.197,57383,AS4788,204.95.99.109,333,,MY,,,,2.5,112.5,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,175.144.0.1,65198,AS4788,204.95.99.86,83,,MY,1,Tebrau,,1.532,103.7549,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,60.51.77.165,52568,AS4788,204.95.99.109,95,,MY,12,Shah Alam,,3.0833,101.5333,0,0,lv||UsbV_2EBA8D8F||A550C/User||MY||WIN_8 X64||5||360 Total Security||Program Manager,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,203.106.137.238,52408,AS4788,204.95.99.109,1998,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-CB,113.210.2.248,10572,AS9534,204.95.99.31,288,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Jenxcus,115.133.68.230,26368,AS4788,204.95.99.86,83,,MY,2,Lunas,,5.4306,100.5301,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
